	new_row	search term	biochemistry	biochemistry_2
279	methotrexate transmembrane transporter activity	transporter	transporter	transporter
306	metal ion:proton antiporter activity	porter activity	transporter	transporter
97	manganese ion transmembrane transporter activity	transporter	transporter	transporter
393	long-chain fatty acid transporter activity	transporter	transporter	transporter
449	L-serine transmembrane transporter activity	transporter	transporter	transporter
448	L-glutamine transmembrane transporter activity	transporter	transporter	transporter
447	L-aspartate transmembrane transporter activity	transporter	transporter	transporter
368	L-amino acid transmembrane transporter activity	transporter	transporter	transporter
96	iron ion transmembrane transporter activity	transporter	transporter	transporter
41	ion transmembrane transporter activity	transporter	transporter	transporter
408	inorganic anion exchanger activity	exchanger	transporter	transporter
358	icosanoid transmembrane transporter activity	transporter	transporter	transporter
763	heme transmembrane transporter activity	transporter	transporter	transporter
357	glucuronoside transmembrane transporter activity	transporter	transporter	transporter
602	glucose transmembrane transporter activity	transporter	transporter	transporter
790	glucose 6-phosphate:inorganic phosphate antiporter activity	porter activity	transporter	transporter
601	fructose transmembrane transporter activity	transporter	transporter	transporter
278	folic acid transmembrane transporter activity	transporter	transporter	transporter
600	dehydroascorbic acid transmembrane transporter activity	transporter	transporter	transporter
670	copper ion transmembrane transporter activity	transporter	transporter	transporter
95	cobalt ion transmembrane transporter activity	transporter	transporter	transporter
407	chloride transmembrane transporter activity	transporter	transporter	transporter
68	cation:cation antiporter activity	porter activity	transporter	transporter
67	carnitine transmembrane transporter activity	transporter	transporter	transporter
524	carboxylic acid transmembrane transporter activity	transporter	transporter	transporter
926	carbohydrate transmembrane transporter activity	transporter	transporter	transporter
298	calcium:sodium antiporter activity	porter activity	transporter	transporter
910	"calcium, potassium:sodium antiporter activity"	porter activity	transporter	transporter
94	cadmium ion transmembrane transporter activity	transporter	transporter	transporter
207	bile acid transmembrane transporter activity	transporter	transporter	transporter
93	bicarbonate transmembrane transporter activity	transporter	transporter	transporter
356	ATPase-coupled transmembrane transporter activity	transporter	transporter	transporter
674	ATPase-coupled intramembrane lipid transporter activity	transporter	transporter	transporter
796	ATPase-coupled cation transmembrane transporter activity	transporter	transporter	transporter
92	anion:cation symporter activity	porter activity	transporter	transporter
406	anion:anion antiporter activity	porter activity	transporter	transporter
65	amino acid transmembrane transporter activity	transporter	transporter	transporter
523	amine transmembrane transporter activity	transporter	transporter	transporter
355	ABC-type xenobiotic transporter activity	transporter	transporter	transporter
354	ABC-type glutathione S-conjugate transporter activity	transporter	transporter	transporter
353	ABC-type bile acid transporter activity	transporter	transporter	transporter
382	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	involved in		
880	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	involved in		
635	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	involved in		
86	receptor ligand activity	receptor ligand activity		
675	metalloendopeptidase activity involved in amyloid precursor protein catabolic process	involved in		
299	ion antiporter activity involved in regulation of postsynaptic membrane potential	involved in		
372	cysteine-type endopeptidase inhibitor activity involved in apoptotic process	involved in		enzyme activity modulator
503	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	involved in	enzyme	enzyme
305	cysteine-type endopeptidase activator activity involved in apoptotic process	involved in		enzyme activity modulator
837	coreceptor activity involved in Wnt signaling pathway	involved in	receptor	receptor
836	coreceptor activity involved in canonical Wnt signaling pathway	involved in	receptor	receptor
297	calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration	involved in		
401	repressing transcription factor binding			TF activity modulator
350	activating transcription factor binding			TF activity modulator
19	sequence-specific double-stranded DNA binding	sequence-specific DNA binding	TF	TF
18	sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
17	RNA polymerase II transcription regulatory region sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
402	RNA polymerase II core promoter sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
16	RNA polymerase II cis-regulatory region sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
761	RNA polymerase I transcription regulatory region sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
197	cis-regulatory region sequence-specific DNA binding	sequence-specific DNA binding	TF	TF
257	cytokine binding			
242	minor groove of adenine-thymine-rich DNA binding	DNA binding		DNA binding protein
399	histone acetyltransferase binding	transferase		chromatin modifier binding protein
243	nucleosomal DNA binding	DNA binding		DNA binding protein
8	double-stranded DNA binding	DNA binding		DNA binding protein
5	DNA binding domain binding	DNA binding		DNA binding protein
80	DNA binding	DNA binding		DNA binding protein
241	chromatin DNA binding	DNA binding		DNA binding protein
400	promoter-specific chromatin binding	chromatin binding		chromatin binding protein
45	chromatin binding	chromatin binding		chromatin binding protein
656	receptor tyrosine kinase binding			
835	transcription corepressor binding			trancription coregulator binding/interacting protein
236	transcription coregulator binding			trancription coregulator binding/interacting protein
59	transcription factor binding			TF binding/interacting protein
853	RNA polymerase II-specific DNA-binding transcription factor binding			TF binding/interacting protein
204	RNA polymerase II transcription factor binding			TF binding/interacting protein
235	RNA polymerase II activating transcription factor binding			
234	bHLH transcription factor binding			
22	vitamin D receptor binding	receptor binding	VDR binding/interacting protein	VDR binding/interacting protein
907	vascular endothelial growth factor receptor binding	receptor binding		
885	type II activin receptor binding	receptor binding		
750	type 2A serotonin receptor binding	receptor binding		
384	tumor necrosis factor receptor binding	receptor binding		
348	Toll-like receptor binding	receptor binding		
833	thyroid hormone receptor binding	receptor binding		
462	T cell receptor binding	receptor binding		
413	stem cell factor receptor binding	receptor binding		
57	signaling receptor binding	receptor binding		
130	semaphorin receptor binding	receptor binding		
717	scavenger receptor binding	receptor binding		
183	RAGE receptor binding	receptor binding		
904	platelet-derived growth factor receptor binding	receptor binding		
126	oncostatin-M receptor binding	receptor binding		
680	nuclear receptor binding	receptor binding		
12	nuclear receptor binding	receptor binding		
55	nuclear hormone receptor binding	receptor binding		
611	macrophage colony-stimulating factor receptor binding	receptor binding		
424	low-density lipoprotein particle receptor binding	receptor binding		
810	lipoprotein particle receptor binding	receptor binding		
367	ionotropic glutamate receptor binding	receptor binding		
479	interleukin-8 receptor binding	receptor binding		
589	interleukin-4 receptor binding	receptor binding		
710	interleukin-18 receptor binding	receptor binding		
687	"interleukin-1, type II receptor binding"	receptor binding		
688	"interleukin-1, type I receptor binding"	receptor binding		
690	interleukin-1 receptor binding	receptor binding		
697	insulin-like growth factor receptor binding	receptor binding		
834	immunoglobulin receptor binding	receptor binding		
920	growth factor receptor binding	receptor binding		
751	glucocorticoid receptor binding	receptor binding		
216	G protein-coupled receptor binding	receptor binding		
308	estrogen receptor binding	receptor binding		
822	ErbB-3 class receptor binding	receptor binding		
256	epidermal growth factor receptor binding	receptor binding		
374	death receptor binding	receptor binding		
465	CXCR3 chemokine receptor binding	receptor binding		
466	CXCR chemokine receptor binding	receptor binding		
542	ciliary neurotrophic factor receptor binding	receptor binding		
540	chemokine receptor binding	receptor binding		
614	CD4 receptor binding	receptor binding		
472	CCR3 chemokine receptor binding	receptor binding		
628	CCR2 chemokine receptor binding	receptor binding		
473	CCR chemokine receptor binding	receptor binding		
653	BMP receptor binding	receptor binding		
662	androgen receptor binding	receptor binding		
682	adrenomedullin receptor binding	receptor binding		
217	A1 adenosine receptor binding	receptor binding		
46	histone binding			histone binding protein
300	ion channel binding	channel binding		
501	protein tyrosine kinase binding			
676	protein kinase C binding			
36	protein kinase binding			
792	phosphatidylinositol 3-kinase catalytic subunit binding			
698	phosphatidylinositol 3-kinase binding			
194	mitogen-activated protein kinase kinase kinase binding			
254	mitogen-activated protein kinase binding			
335	kinase binding			
201	histone deacetylase binding			chromatin modifier binding protein
4	zinc ion binding			
850	WW domain binding			
482	Wnt-protein binding			
51	virion binding			
906	vascular endothelial growth factor receptor 2 binding			
905	vascular endothelial growth factor receptor 1 binding			
863	vascular endothelial growth factor binding			
666	unfolded protein binding			
403	ubiquitin-like protein ligase binding			
177	ubiquitin protein ligase binding			
91	ubiquitin conjugating enzyme binding			
90	ubiquitin binding			
544	tubulin binding			
44	tropomyosin binding			
295	triglyceride binding			
184	transition metal ion binding			
578	transforming growth factor beta binding			
21	transcription regulatory region sequence-specific DNA binding	sequence-specific DNA binding	TF	
187	Toll-like receptor 4 binding			
857	titin binding			
552	thyroid hormone binding			
908	thiamine pyrophosphate binding			
725	tau protein binding			
724	Tat protein binding			
734	syntaxin-1 binding			
125	syntaxin binding			
87	syndecan binding			
150	structural constituent of skin epidermis			
723	structural constituent of postsynaptic actin cytoskeleton			
268	structural constituent of myelin sheath			
271	structural constituent of muscle			
582	structural constituent of cytoskeleton			
172	steroid receptor RNA activator RNA binding			
212	spermidine binding			
506	spectrin binding			
603	small GTPase binding			
595	SMAD binding			
924	siRNA binding			
119	single-stranded RNA binding			
143	sialic acid binding			
386	SH3 domain binding			
421	SH2 domain binding			
786	serpin family protein binding			
398	selenium binding			
223	scaffold protein binding			
43	S100 protein binding			
118	RNA binding			
612	RNA 7-methylguanosine cap binding			
615	ribosome binding			
15	retinoic acid-responsive element binding			
14	retinoic acid binding			
352	R-SMAD binding			
609	purine nucleoside binding			
699	PTB domain binding			
284	proteoglycan binding			
54	protein-containing complex binding			
171	protein self-association			
139	protein phosphatase binding			
110	protein phosphatase 2A binding			
739	protein phosphatase 1 binding			
715	protein N-terminus binding			
665	protein folding chaperone			
31	protein domain specific binding			
196	protein C-terminus binding			
79	protease binding			
661	proline-rich region binding			
385	profilin binding			
797	potassium ion binding			
461	polysaccharide binding			
262	phosphotyrosine residue binding			
175	phosphoprotein binding			
128	phospholipid binding			
590	phosphatidylserine binding			
420	phosphatidylinositol-5-phosphate binding			
381	"phosphatidylinositol-4,5-bisphosphate binding"			
418	"phosphatidylinositol-3,5-bisphosphate binding"			
547	"phosphatidylinositol-3,4,5-trisphosphate binding"			
548	"phosphatidylinositol-3,4-bisphosphate binding"			
419	phosphatidylinositol-3-phosphate binding			
686	phosphatidylinositol phosphate binding			
154	phosphatidylinositol binding			
591	phosphatidylethanolamine binding			
411	phosphatase binding			
330	peptidoglycan binding			
884	peptide hormone binding			
13	peptide binding			
460	peptide antigen binding			
70	PDZ domain binding			
179	p53 binding			
494	oxygen binding			
69	nucleotide binding			
566	nucleoside binding			
102	nucleic acid binding			
820	Notch binding			
722	nitric-oxide synthase binding			
202	NFAT protein binding			
903	neuropilin binding			
917	NADP binding			
709	NAD binding			
658	myosin light chain binding			
791	myosin II binding			
856	myosin heavy chain binding			
855	myosin binding			
138	muscle alpha-actinin binding			
329	muramyl dipeptide binding			
664	mRNA binding			
349	mRNA 3'-UTR binding			
550	MRF binding			
344	monosaccharide binding			
901	mono-ADP-D-ribose binding			
721	misfolded protein binding			
388	miRNA binding			
679	microtubule plus-end binding			
505	microtubule minus-end binding			
186	microtubule binding			
864	microfibril binding			
458	MHC class II protein complex binding			
839	"MHC class II protein binding, via antigen binding groove"			
500	MHC class II protein binding			
737	MHC class Ib protein complex binding			
736	MHC class Ib protein binding			
738	MHC class I protein binding			
643	"methylglyoxal reductase (NADPH-dependent, acetol producing)"			
89	metal ion binding			
522	mannose binding			
361	manganese ion binding			
108	magnesium ion binding			
838	macrophage migration inhibitory factor binding			
816	lysophosphatidic acid binding			
61	low-density lipoprotein particle binding			
451	lipoteichoic acid binding			
290	lipoprotein particle binding			
252	lipopolysaccharide binding			
450	lipopeptide binding			
35	lipid binding			
10	LBD domain binding			
282	laminin-1 binding			
283	laminin binding			
713	lactose binding			
911	L-ascorbic acid binding			
434	kinesin binding			
34	iron ion binding			
732	interleukin-8 binding			
826	interleukin-18 binding			
498	interleukin-16 binding			
848	interleukin-1 binding			
85	integrin binding			
696	insulin-like growth factor II binding			
695	insulin-like growth factor I binding			
554	insulin-like growth factor binding			
334	insulin receptor substrate binding			
694	insulin binding			
546	"inositol 1,3,4,5 tetrakisphosphate binding"			
594	inhibin binding			
497	immunoglobulin binding			
821	IgM binding			
757	IgG binding			
793	IgA binding			
2	identical protein binding			
60	hyaluronic acid binding			
328	Hsp90 protein binding			
327	Hsp70 protein binding			
663	hormone binding			
572	high-density lipoprotein particle binding			
84	heparin binding			
287	heparan sulfate proteoglycan binding			
316	heme binding			
246	heat shock protein binding			
343	GTP-dependent protein binding			
25	GTP binding			
861	growth factor binding			
259	granulocyte colony-stimulating factor binding			
132	glycosaminoglycan binding			
265	glutathione binding			
467	glutamate binding			
476	glucose binding			
52	GDP binding			
714	gamma-tubulin binding			
854	galactoside binding			
749	G-protein beta/gamma-subunit complex binding			
192	G-protein alpha-subunit binding			
893	frizzled binding			
277	folic acid binding			
916	FMN binding			
557	flavin adenine dinucleotide binding			
270	filamin binding			
785	fibronectin binding			
889	fibroblast growth factor binding			
888	fibrinogen binding			
753	ferrous iron binding			
752	ferric iron binding			
146	fatty-acyl-CoA binding			
405	FAD binding			
483	extracellular matrix structural constituent conferring tensile strength			
507	extracellular matrix structural constituent conferring compression resistance			
281	extracellular matrix structural constituent			
877	extracellular matrix protein binding			
433	extracellular matrix constituent conferring elasticity			
755	extracellular matrix binding			
759	ER retention sequence binding			
9	enzyme binding			
549	E-box binding			
581	dystroglycan binding			
536	dynein complex binding			
441	drug binding			
116	double-stranded RNA binding			
199	DNA-binding transcription factor binding			
720	disordered domain specific binding			
707	diacylglycerol binding			
719	denatured protein binding			
851	delta-catenin binding			
373	death effector domain binding			
269	cytoskeletal protein binding			
312	cyclosporin A binding			
585	cyclin binding			
214	copper ion binding			
245	complement component C3b binding			
50	complement component C1q complex binding			
887	collagen V binding			
438	collagen binding involved in cell-matrix adhesion	involved in		
168	collagen binding			
758	clathrin heavy chain binding			
432	chondroitin sulfate binding			
144	cholesterol binding			
431	chitin binding			
141	chemokine binding			
140	chaperone binding			
588	ceramide binding			
415	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	involved in		
37	cell adhesion molecule binding			
371	caspase binding			
326	CARD domain binding			
774	carboxylic acid binding			
789	carbohydrate derivative binding			
142	carbohydrate binding			
579	cAMP response element binding			
383	cAMP binding			
105	calmodulin binding			
40	calcium-dependent protein binding			
228	calcium-dependent phospholipid binding			
24	calcium ion binding			
659	cadherin binding involved in cell-cell adhesion	involved in		
320	cadherin binding			
718	C3HC4-type RING finger domain binding			
705	C-X3-C chemokine binding			
537	C-C chemokine binding			
342	BLOC-2 complex binding			
921	biotin binding			
773	bile acid binding			
469	BH3 domain binding			
840	beta-catenin binding			
765	beta-2-microglobulin binding			
157	ATPase binding			
66	ATP binding			
636	Arp2/3 complex binding			
185	arachidonic acid binding			
286	apolipoprotein binding			
341	AP-3 adaptor complex binding			
340	AP-1 adaptor complex binding			
347	antigen binding			
296	ankyrin binding			
244	amyloid-beta binding			
865	AMP binding			
925	alpha-tubulin binding			
414	alpha-catenin binding			
137	alpha-actinin binding			
395	AF-2 domain binding			
218	ADP binding			
592	activin binding			
82	actin filament binding			
1	actin binding			
726	3'-phosphoadenosine 5'-phosphosulfate binding			
580	14-3-3 protein binding			
387	1-phosphatidylinositol binding			
49	(1->3)-beta-D-glucan binding			
48				
